Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","202","Afrique du Sud","6109","Valeur en devise locale","22011","Revenu national brut","2020","2020","million LCU","5463759.143","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2020","2020","Millions d’USD","331959.6669","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2020","2020","US$","5645.387555","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2020","2020","%","98.323586","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6155","Croissance annuelle en devise locale","22011","Revenu national brut","2020","2020","%","-0.178579","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-12.37297","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2020","2020","%","-13.438277","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2020","2020","million LCU","1644077.27","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","15131.86627","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","5278.222282","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6183","Valeur en devise locale, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","million LCU","1576554.538","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6185","Valeur US $ par habitant, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","US$","4365.848536","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6184","Valeur US $, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","12516.22851","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6155","Croissance annuelle en devise locale","22008","Produit Intérieur Brut","2020","2020","%","-2.826767","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6181","Croissance annuelle aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-3.481628","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-1.752778","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2020","2020","%","-1.511722","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-3.481628","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","61820","Croissance annuelle US $ par habitant, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-3.244813","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6109","Valeur en devise locale","22011","Revenu national brut","2020","2020","million LCU","1616719.861","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22011","Revenu national brut","2020","2020","Millions d’USD","14880.07235","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22011","Revenu national brut","2020","2020","US$","5190.39278","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6103","Part du PIB US $","22011","Revenu national brut","2020","2020","%","98.336002","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6155","Croissance annuelle en devise locale","22011","Revenu national brut","2020","2020","%","-3.176457","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-2.106334","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2020","2020","%","-1.866145","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2020","2020","million LCU","18476900","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","145743.543","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","3354.153164","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6183","Valeur en devise locale, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","million LCU","16947405.36","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6185","Valeur US $ par habitant, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","US$","3873.506256","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6184","Valeur US $, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","168310.3001","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6155","Croissance annuelle en devise locale","22008","Produit Intérieur Brut","2020","2020","%","-9.86966","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6181","Croissance annuelle aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-5.1","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-15.147118","X","Ciffre de sources internationales",""
