Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","43451.666","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","22132.899","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","21318.767","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","11382.345","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","31950.91","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","81325.09","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","39816.164","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","41508.926","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","18633.173","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","62261.612","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","83328.988","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","41115.471","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","42213.517","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","18610.145","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","63930.305","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","71.519","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","36.307","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","35.212","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","9.442","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","75.007","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","77.7","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","39.615","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","38.084","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","9.327","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","67.857","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","23364.185","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","11510.656","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","11853.53","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","9398.277","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","13970.854","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","33428.486","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","16517.497","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","16910.989","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","10890.448","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","21936.953","X","Ciffre de sources internationales",""
