Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","209","Eswatini","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3838","I","Valeur imputée"
"QCL","Cultures et produits animaux","231","États-Unis d'Amérique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1537000","E","Valeur estimée"
"QCL","Cultures et produits animaux","238","Éthiopie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","56993","A","Chiffre officiel"
"QCL","Cultures et produits animaux","185","Fédération de Russie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","496964","A","Chiffre officiel"
"QCL","Cultures et produits animaux","66","Fidji","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5544","I","Valeur imputée"
"QCL","Cultures et produits animaux","67","Finlande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","8507","A","Chiffre officiel"
"QCL","Cultures et produits animaux","68","France","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","242015","A","Chiffre officiel"
"QCL","Cultures et produits animaux","74","Gabon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3322","I","Valeur imputée"
"QCL","Cultures et produits animaux","75","Gambie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1502","I","Valeur imputée"
"QCL","Cultures et produits animaux","73","Géorgie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","9298","A","Chiffre officiel"
"QCL","Cultures et produits animaux","81","Ghana","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","95293","I","Valeur imputée"
"QCL","Cultures et produits animaux","86","Grenade","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","271","E","Valeur estimée"
"QCL","Cultures et produits animaux","89","Guatemala","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","39649","I","Valeur imputée"
"QCL","Cultures et produits animaux","90","Guinée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","33982","E","Valeur estimée"
"QCL","Cultures et produits animaux","61","Guinée équatoriale","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","373","E","Valeur estimée"
"QCL","Cultures et produits animaux","175","Guinée-Bissau","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","2090","E","Valeur estimée"
"QCL","Cultures et produits animaux","91","Guyana","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","29432","I","Valeur imputée"
"QCL","Cultures et produits animaux","93","Haïti","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5858","I","Valeur imputée"
"QCL","Cultures et produits animaux","95","Honduras","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","48611","I","Valeur imputée"
"QCL","Cultures et produits animaux","97","Hongrie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30874","A","Chiffre officiel"
"QCL","Cultures et produits animaux","47","Îles Cook","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","17","E","Valeur estimée"
"QCL","Cultures et produits animaux","25","Îles Salomon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","245","I","Valeur imputée"
"QCL","Cultures et produits animaux","100","Inde","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","824326","I","Valeur imputée"
"QCL","Cultures et produits animaux","101","Indonésie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3570142","A","Chiffre officiel"
"QCL","Cultures et produits animaux","102","Iran (République islamique d')","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1017615","I","Valeur imputée"
"QCL","Cultures et produits animaux","103","Iraq","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","78534","A","Chiffre officiel"
"QCL","Cultures et produits animaux","99","Islande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","222","A","Chiffre officiel"
"QCL","Cultures et produits animaux","105","Israël","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","51140","A","Chiffre officiel"
"QCL","Cultures et produits animaux","109","Jamaïque","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14050","I","Valeur imputée"
"QCL","Cultures et produits animaux","110","Japon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","320178","I","Valeur imputée"
"QCL","Cultures et produits animaux","112","Jordanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30379","I","Valeur imputée"
"QCL","Cultures et produits animaux","108","Kazakhstan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","41668","A","Chiffre officiel"
"QCL","Cultures et produits animaux","114","Kenya","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","57178","A","Chiffre officiel"
"QCL","Cultures et produits animaux","113","Kirghizistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4674","A","Chiffre officiel"
"QCL","Cultures et produits animaux","83","Kiribati","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","643","E","Valeur estimée"
"QCL","Cultures et produits animaux","118","Koweït","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","55430","I","Valeur imputée"
"QCL","Cultures et produits animaux","122","Lesotho","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","380","E","Valeur estimée"
"QCL","Cultures et produits animaux","121","Liban","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","68047","E","Valeur estimée"
"QCL","Cultures et produits animaux","123","Libéria","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","8257","E","Valeur estimée"
"QCL","Cultures et produits animaux","124","Libye","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","35593","E","Valeur estimée"
"QCL","Cultures et produits animaux","126","Lituanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","8476","A","Chiffre officiel"
"QCL","Cultures et produits animaux","256","Luxembourg","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","136","A","Chiffre officiel"
"QCL","Cultures et produits animaux","154","Macédoine du Nord","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1643","A","Chiffre officiel"
"QCL","Cultures et produits animaux","129","Madagascar","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","41142","I","Valeur imputée"
"QCL","Cultures et produits animaux","131","Malaisie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","293496","A","Chiffre officiel"
"QCL","Cultures et produits animaux","130","Malawi","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","18919","E","Valeur estimée"
