Zone,Dispo_intérieur en Tonne,Dispo_Alim_kcal_pers_jour_volaille,Dispo_Prot_g_pers_jour_volaille,Dispo_Alim_kg_pers_volaille,Population 2020,Evol Population 2010-2020 en %,PIB par habitant $,Qté poulets exporté en nb de tete,Valeur exporté en $,Qté poulets importé en nb de tete,Valeur importé en $,Qté de production poulets
République populaire démocratique de Corée,46000.0,8.49,0.54,1.78,25867467.0,4.8,615.639343,38.4,220800.0,428.6,1642800.0,16683.0
Tanzanie,89000.0,5.08,0.5,1.49,61704518.0,36.8,1087.0673935,2374.0,1472000.0,934.0,2970000.0,39023.0
Réunion,18600.0,78.906,7.0859999999999985,21.026000000000003,957822.0,7.6,3895.5740860000005,202.2,138800.0,257.6,528200.0,8145.6
Sahara occidental,14600.0,87.132,8.676,24.46,556048.0,34.5,10350.6239071,62.8,79400.0,90.2,434600.0,5389.6
Sierra Leone,43000.0,12.91,1.67,5.37,8233970.0,27.9,488.693993,0.0,0.0,65.0,76000.0,25106.0
Singapour,92200.0,37.260000000000005,3.3620000000000005,10.598,5909869.0,14.5,54514.1043905,0.0,1000.0,51990.0,147930000.0,3841.0
Slovaquie,104000.0,58.63,5.91,16.9,5456681.0,1.1,19434.822065,50004.0,32420000.0,66159.0,35008000.0,10409.0
Slovénie,64000.0,102.08,10.58,30.36,2117641.0,2.9,25276.5966375,1921.0,1798000.0,6762.0,5581000.0,4162.0
Somalie,71200.0,14.684000000000001,1.4,4.186,16537016.0,37.5,415.15575850000005,0.0,0.0,27.0,32000.0,3751.0
Soudan,81000.0,6.19,0.62,1.85,44440486.0,29.02,1048.823069,0.0,0.0,306.0,1985000.0,50747.0
Soudan du Sud,59000.0,25.26,1.2,4.32,10606227.0,25.0,393.8993745,0.0,0.0,12.0,14000.0,15000.0
Sri Lanka,223000.0,34.81,3.51,10.41,21715079.0,5.1,3676.2444495,63.0,222000.0,313.0,3266000.0,24278.0
Suisse,146000.0,58.99,6.97,16.89,8638613.0,10.4,85389.3528395,1628.0,697000.0,423.0,2835000.0,12429.0
Suriname,29000.0,177.24,14.79,49.63,607065.0,11.2,6464.220666499999,0.0,0.0,77.0,432000.0,5773.0
Suède,215000.0,56.34,6.54,15.4,10368969.0,10.5,53677.2814585,5982.0,14369000.0,351.0,6828000.0,10780.0
Sénégal,123000.0,24.58,2.48,7.35,16436120.0,31.2,1471.123611,79.0,69000.0,213.0,1091000.0,85193.0
Tadjikistan,34000.0,11.79,1.19,3.52,9543207.0,25.2,923.802145,55.0,11000.0,5367.0,3557000.0,16000.0
Tchad,9000.0,1.63,0.16,0.48,16644701.0,39.9,863.6881295000001,0.0,0.0,45.0,79000.0,6077.0
Tchéquie,267000.0,87.0,8.06,23.53,10530953.0,0.6,22774.976144,96529.0,53939000.0,7349.0,20235000.0,7832.6
Thaïlande,927000.0,42.74,3.92,11.4,71475664.0,4.7,6914.473368,11927.0,19472000.0,911.0,25096000.0,284784.0
Timor-Leste,12000.0,31.65,3.22,9.39,1299995.0,19.4,1647.9969529999998,0.0,0.0,360.0,315000.0,976.0
Togo,59000.0,23.95,2.42,7.16,8442580.0,28.5,869.8511295000001,60.0,9000.0,495.0,82000.0,26503.0
Trinité-et-Tobago,89000.0,219.28,19.29,63.13,1518147.0,7.6,13916.21643,0.0,0.0,41.0,1152000.0,38557.0
Tunisie,211000.0,60.41,6.64,17.88,12161723.0,11.6,3438.7459405,4.0,27000.0,1190.0,4918000.0,97648.0
Turkménistan,39000.0,20.35,2.05,6.08,6250438.0,18.6,7191.2051035,0.0,0.0,452.0,846000.0,15718.0
Turquie,1686000.0,69.32,6.77,19.99,84135428.0,14.9,8505.234771,28094.0,46086000.0,1133.0,7912000.0,379349.0
Uruguay,77000.0,74.47,6.62,21.03,3429086.0,2.3,15252.205378,0.0,0.0,172.0,2906000.0,39779.0
