Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","5575","A","Chiffre officiel"
"TCL","Cultures et produits animaux","044","Bahamas","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","34","A","Chiffre officiel"
"TCL","Cultures et produits animaux","044","Bahamas","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","45","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","6","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","191","A","Chiffre officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","3017","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","21814","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","052","Barbade","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","44","A","Chiffre officiel"
"TCL","Cultures et produits animaux","052","Barbade","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","650","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","6228","I","Valeur imputée"
"TCL","Cultures et produits animaux","112","Bélarus","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","11469","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","721","I","Valeur imputée"
"TCL","Cultures et produits animaux","112","Bélarus","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1695","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","142038","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","200401","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","126208","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","155737","A","Chiffre officiel"
"TCL","Cultures et produits animaux","084","Belize","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","140","I","Valeur imputée"
"TCL","Cultures et produits animaux","084","Belize","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","731","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","160","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","701","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","0","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","0","A","Chiffre officiel"
"TCL","Cultures et produits animaux","064","Bhoutan","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","118","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","064","Bhoutan","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","97","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1693","I","Valeur imputée"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","9355","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","33376","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","3162","A","Chiffre officiel"
